,ISIN number,Bloomberg Ticker,Activ Ticker,Last Price,Current % Mkt Cap,Projected % Mkt Cap,Current PFF Shares,Projected PFF Shares,Difference
433,US88314W3034,TGH B Pfd,TGHpB,21.28,0.06857,0.06991,450363.0,459164.0,8801.0
434,US88314W2044,TGH A Pfd,TGHpA,24.39,0.07859,0.08012,450356.0,459123.0,8767.0
435,MHY8564M2048,SEAL B Pfd,SEALpB,23.9,0.08727,0.08898,510349.0,520349.0,10000.0
436,MHY8564M1131,SEAL A Pfd,SEALpA,24.22,0.06503,0.0663,375266.0,382595.0,7329.0
437,US8964425065,TRINL Pfd,TRINL,25.3286,0.0948,0.09666,523115.0,533379.0,10264.0
438,BMG9078F1564,TRTN E Pfd,TRTNpE,20.96,0.07879,0.08033,525388.0,535657.0,10269.0
439,BMG9078F2067,TRTN D Pfd,TRTNpD,25,0.08055,0.08213,450325.0,459158.0,8833.0
440,BMG9078F1499,TRTN C Pfd,TRTNpC,25,0.09398,0.09581,525407.0,535637.0,10230.0
441,BMG9078F1317,TRTN B Pfd,TRTNpB,25.5495,0.07889,0.08043,431558.0,439983.0,8425.0
442,US87266M2061,TRTX C Pfd,TRTXpC,17.4,0.07522,0.07669,604205.0,616013.0,11808.0
443,US8805914095,TVE Pfd,TVE,21.28,0.09508,0.09694,624479.0,636695.0,12216.0
444,US8805913006,TVC Pfd,TVC,21.7,0.11933,0.12166,768582.0,783589.0,15007.0
445,US90187B5075,TWO C Pfd,TWOpC,21.2,0.13434,0.13696,885665.0,902938.0,17273.0
446,US90187B3096,TWO B Pfd,TWOpB,21.21,0.13098,0.13354,863107.0,879976.0,16869.0
447,US90187B2007,TWO A Pfd,TWOpA,22.14,0.06836,0.0697,431543.0,440003.0,8460.0
448,US9172868740,UBP K Pfd,UBPpK,22.2,0.05245,0.05348,330212.0,336696.0,6484.0
449,US9172868823,UBP H Pfd,UBPpH,23.49,0.05803,0.05916,345279.0,352002.0,6723.0
450,US90985F2056,UCBIO Pfd,UCBIO,25.2101,0.05409,0.05514,299877.0,305698.0,5821.0
451,US9026811136,UGIC Pfd,UGIC,91.34,0.1074,0.1095,164340.0,167553.0,3213.0
452,US9030025095,UMH D Pfd,UMHpD,22.58,0.1106,0.11276,684591.0,697961.0,13370.0
453,US91529Y6014,UNMA Pfd,UNMA,24.35,0.15691,0.15998,900641.0,918263.0,17622.0
454,US9029731554,USB H Pfd,USBpH,21.26,0.45667,0.4656,3002198.0,3060905.0,58707.0
455,US9029737346,USB Q Pfd,USBpQ,17.5,0.18795,0.19163,1501082.0,1530473.0,29391.0
456,US9029737189,USB R Pfd,USBpR,18.61,0.29981,0.30567,2251645.0,2295655.0,44010.0
457,US9029736686,USB S Pfd,USBpS,20.74,0.20047,0.20439,1350955.0,1377371.0,26416.0
458,US9029737593,USB P Pfd,USBpP,24.79,0.30618,0.31217,1726237.0,1760008.0,33771.0
459,US9029738666,USB A Pfd,USBpA,820,0.25303,0.25798,43128.0,43972.0,844.0
460,US9116848014,UZE Pfd,UZE,16.84,0.18086,0.1844,1501069.0,1530449.0,29380.0
461,US9116848840,UZF Pfd,UZF,16.85,0.18097,0.18451,1501090.0,1530453.0,29363.0
462,US9116847024,UZD Pfd,UZD,18.35,0.19708,0.20093,1501090.0,1530414.0,29324.0
463,US9197943056,VLYPO Pfd,VLYPO,25.41,0.05467,0.05574,300708.0,306593.0,5885.0
464,US9197942066,VLYPP Pfd,VLYPP,25.14,0.06262,0.06384,348135.0,354918.0,6783.0
465,US9290427940,VNO O Pfd,VNOpO,15.83,0.10201,0.104,900662.0,918232.0,17570.0
466,US9290428104,VNO N Pfd,VNOpN,17.5849,0.11332,0.11553,900672.0,918237.0,17565.0
467,US9290428286,VNO M Pfd,VNOpM,17.71,0.12154,0.12392,959181.0,977964.0,18783.0
468,US9290428443,VNO L Pfd,VNOpL,18.24,0.11754,0.11984,900660.0,918284.0,17624.0
469,US9290892093,VOYA B Pfd,VOYApB,24.4,0.15724,0.16031,900686.0,918271.0,17585.0
