"Global X U.S. Preferred ETF",,,,,,
"Fund Holdings Data as of 03/30/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.13,AFG,"AFG 5 1/8 12/15/59",BJQY934,19.31,"151,589.00","2,927,183.59"
0.13,QVCN,"QVCN 6 1/4 11/26/68",BKVHZH1,7.75,"376,416.00","2,917,224.00"
0.13,SF,"SF 6 1/4 PERP",BJ8J3L3,23.80,"121,537.00","2,892,580.60"
0.13,,"HBAN 5.7 PERP",BMHH2W3,21.34,"133,050.00","2,838,621.75"
0.13,MBIN,"MBIN 8 1/4 PERP",BQ0QJ57,24.94,"112,856.00","2,814,628.64"
0.12,CADE,"CADE 5 1/2 PERP",BMD1WD0,20.84,"130,989.00","2,729,810.76"
0.12,BNCN,"BNCN 4 1/2 PERP",BLD4BQ8,14.92,"178,821.00","2,668,009.32"
0.12,ARGO,"ARGO 7 PERP",BMVZ8X6,22.56,"117,186.00","2,643,716.16"
0.12,DHC,"DHC 6 1/4 02/01/46",BKRTG78,13.16,"198,469.00","2,611,852.04"
0.11,FULT,"FULT 5 1/8 PERP",BN7NYQ6,16.67,"151,643.00","2,527,888.81"
0.11,VNO,"VNO 4.45 PERP",BMHV5V5,10.91,"231,583.00","2,526,570.53"
0.11,TRTN,"TRTN 6 7/8 PERP",BMTQTF0,21.83,"113,303.00","2,473,404.49"
0.11,PSA,"PSA 3.9 PERP",BMW9C79,17.91,"135,899.00","2,433,951.09"
0.11,SJI,"SJI 5 5/8 09/16/2079",BKMGY03,15.75,"151,272.00","2,382,685.27"
0.11,BPY,"BPY 6 1/2 PERP",BJHJQ37,16.14,"146,339.00","2,361,911.46"
0.11,FRT,"FRT 5 PERP",BN7PD98,20.79,"113,101.00","2,351,087.04"
0.10,NYCB,"NYCB 6 11/01/51",2049603,40.11,"56,753.00","2,276,362.83"
0.10,KMPR,"KMPR 5 7/8 03/15/62",BNW0GQ6,19.00,"113,202.00","2,150,838.00"
0.09,FRC,"FRC 4 1/8 PERP",BN78F13,5.30,"388,923.00","2,061,291.90"
0.09,OPI,"OPI 6 3/8 06/23/50",BK80YB0,16.83,"122,283.00","2,058,022.89"
0.09,AFG,"AFG 5 7/8 03/30/59",BDFZ743,21.75,"94,068.00","2,045,979.00"
0.09,EPR,"EPR 5 3/4 PERP",BF0WJH0,17.28,"117,421.00","2,029,034.88"
0.09,ESGR,"ESGR 7 PERP",BGT0PD0,22.80,"86,238.00","1,966,226.40"
0.09,FTAI,"FTAI 8 1/4 PERP",BM8J6T3,22.68,"84,242.00","1,910,608.56"
0.08,GNL,"GNL 6 7/8 PERP",BL0L9V3,20.10,"88,163.00","1,772,076.30"
0.08,COF,"COF 4 5/8 PERP",BLNPMY6,17.63,"95,360.00","1,681,196.80"
0.07,FRC,"FRC 4.7 PERP",BKBKSZ9,5.60,"297,635.00","1,666,756.00"
0.06,FRC,"FRC 5 1/2 PERP",BZ1NVR6,6.26,"230,016.00","1,439,900.16"
0.06,QVCN,"QVCN 6 3/8 09/13/67",BF5K8M7,7.90,"174,023.00","1,374,781.70"
0.04,FRC,"FRC 5 1/8 PERP",BF2P6Q5,6.15,"151,593.00","932,296.95"
0.00,SBNY,"SBNY 5 PERP",BN4GB67,0.06,"73,911.00","4,065.11"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
